Employment,Country,AISearchDevAdmired
"Employed, full-time",Russian Federation,NA
"Employed, full-time",India,ChatGPT;Google Gemini
"Employed, full-time",Serbia,NA
"Employed, full-time",Netherlands,GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Canada,Claude;Codeium
"Employed, full-time",Ukraine,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Spain,NA
"Student, full-time",Brazil,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Pakistan,ChatGPT
"Employed, full-time;Student, part-time",Georgia,ChatGPT;Claude
"Independent contractor, freelancer, or self-employed",France,GitHub Copilot
"Not employed, but looking for work",Ukraine,NA
"Employed, full-time",United Arab Emirates,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Meta AI;OpenAI Codex;Tabnine;Visual Studio Intellicode
"Student, full-time",New Zealand,NA
"Employed, full-time",Ukraine,ChatGPT
"Student, full-time;Employed, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;WolframAlpha
"Student, full-time;Employed, part-time",Germany,NA
"Employed, full-time",Lithuania,ChatGPT
"Employed, full-time",Portugal,ChatGPT;GitHub Copilot
"Student, full-time",Ghana,Bing AI;ChatGPT;Claude;Google Gemini;Phind;Tabnine;Visual Studio Intellicode
"Employed, full-time;Student, full-time",Germany,NA
"Student, full-time",Italy,Bing AI;ChatGPT;Claude
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Greece,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Argentina,NA
"Student, full-time",Germany,ChatGPT
"Independent contractor, freelancer, or self-employed",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",India,ChatGPT;GitHub Copilot;Tabnine
"Student, part-time;Employed, part-time",Austria,NA
"Employed, full-time",Greece,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Student, full-time",Zimbabwe,ChatGPT
"Employed, full-time",Portugal,Visual Studio Intellicode
"Employed, full-time",Italy,NA
"Student, full-time;Not employed, but looking for work",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,Bing AI
"Employed, full-time",Israel,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Italy,ChatGPT
"Employed, full-time",United States of America,ChatGPT
"Not employed, but looking for work",Spain,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Student, full-time",Denmark,ChatGPT;Google Gemini
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Poland,NA
"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",Myanmar,ChatGPT;Codeium;Phind
"Student, full-time;Independent contractor, freelancer, or self-employed",Nigeria,ChatGPT;Claude;Google Gemini;Meta AI;Perplexity AI;Tabnine;Visual Studio Intellicode;You.com
"Student, full-time;Employed, part-time",India,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed;Student, part-time",Bulgaria,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Student, full-time;Employed, part-time",Hungary,GitHub Copilot
"Student, full-time",Germany,ChatGPT;Google Gemini
"Employed, full-time",Netherlands,ChatGPT
"Student, full-time;Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Lithuania,ChatGPT;GitHub Copilot
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Perplexity AI
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Tabnine
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time;Employed, part-time",Hungary,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ukraine,Google Gemini
"Employed, full-time",Austria,NA
"Employed, full-time",Romania,ChatGPT;GitHub Copilot
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Slovenia,ChatGPT;GitHub Copilot
"Employed, full-time",Hungary,NA
"Employed, full-time",Netherlands,ChatGPT;GitHub Copilot;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",Ukraine,ChatGPT
"Employed, full-time",Bangladesh,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Romania,ChatGPT;GitHub Copilot
"Not employed, but looking for work","Iran, Islamic Republic of...",NA
"Independent contractor, freelancer, or self-employed",Brazil,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Ukraine,ChatGPT;Claude;Snyk Code
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Romania,NA
"Employed, full-time",Switzerland,ChatGPT
"Employed, full-time",Italy,NA
"Employed, full-time",Hungary,ChatGPT;GitHub Copilot
"Employed, full-time",Netherlands,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Denmark,NA
Retired,United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",South Africa,Codeium
"Employed, full-time",United States of America,NA
"Employed, full-time",France,ChatGPT
"Employed, full-time",Czech Republic,Google Gemini
"Student, full-time;Employed, part-time",Belarus,NA
"Employed, full-time",France,ChatGPT;Codeium
"Employed, full-time",Turkey,ChatGPT;Claude;Cody
"Not employed, but looking for work",Ukraine,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Israel,ChatGPT
"Employed, full-time",India,NA
"Employed, full-time",Austria,NA
"Employed, full-time",Ukraine,ChatGPT;Visual Studio Intellicode
"Student, full-time;Employed, part-time",Germany,NA
"Student, full-time",India,Bing AI;ChatGPT;GitHub Copilot
Retired,United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work",India,NA
"Employed, full-time",India,ChatGPT
"Employed, full-time",Bangladesh,NA
"Independent contractor, freelancer, or self-employed",Bangladesh,ChatGPT;Google Gemini
"Not employed, but looking for work",India,Bing AI;ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Tunisia,AskCodi;ChatGPT;Visual Studio Intellicode
"Student, full-time;Not employed, and not looking for work",Bangladesh,Bing AI;ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",France,NA
"Employed, full-time",Slovakia,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Russian Federation,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Germany,ChatGPT
"Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time",France,ChatGPT;GitHub Copilot
"Student, full-time;Employed, part-time",Netherlands,ChatGPT
"Student, full-time",Italy,Bing AI;ChatGPT;GitHub Copilot;WolframAlpha
"Employed, full-time",Spain,ChatGPT
"Independent contractor, freelancer, or self-employed",United Arab Emirates,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Belgium,ChatGPT
"Student, full-time",Germany,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time",Germany,NA
"Independent contractor, freelancer, or self-employed",France,Visual Studio Intellicode
"Student, full-time;Employed, part-time",Germany,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time;Student, part-time",United States of America,NA
"Employed, full-time",Hungary,ChatGPT;Tabnine;Visual Studio Intellicode
"Student, full-time",South Africa,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time;Student, part-time",Italy,NA
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Pakistan,ChatGPT;Google Gemini;Tabnine;Visual Studio Intellicode
"Employed, full-time",Spain,Bing AI;ChatGPT;Perplexity AI
"Student, full-time",India,NA
"Employed, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Google Gemini
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Turkey,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Student, full-time",Austria,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Spain,GitHub Copilot
"Employed, full-time",Belgium,ChatGPT;Visual Studio Intellicode
"Student, full-time;Employed, part-time",Germany,ChatGPT;Perplexity AI
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time;Not employed, but looking for work",Spain,ChatGPT
"Student, part-time;Employed, part-time",Netherlands,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Spain,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Russian Federation,ChatGPT
"Employed, full-time",Norway,NA
"Employed, part-time",Netherlands,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Ukraine,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",France,NA
"Employed, full-time",Austria,NA
"Employed, full-time",United States of America,Claude;Meta AI
"Employed, full-time",United States of America,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Germany,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Latvia,ChatGPT;Claude
"Student, full-time",Canada,NA
"Employed, full-time",Switzerland,NA
"Independent contractor, freelancer, or self-employed",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time",Hungary,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Brazil,ChatGPT;GitHub Copilot
"Employed, full-time",Sweden,Bing AI;ChatGPT
"Employed, full-time",Ireland,ChatGPT
I prefer not to say,United Arab Emirates,NA
"Employed, full-time",Kazakhstan,ChatGPT;WolframAlpha
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot
"Student, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Slovakia,NA
"Employed, full-time",Republic of North Macedonia,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Greece,ChatGPT;GitHub Copilot
"Employed, full-time",Egypt,NA
"Independent contractor, freelancer, or self-employed",Romania,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Switzerland,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,NA
"Not employed, but looking for work",Canada,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Ukraine,GitHub Copilot
"Employed, full-time",Belarus,Bing AI
"Employed, full-time",India,NA
"Employed, full-time",South Africa,Bing AI;ChatGPT;GitHub Copilot;Meta AI;Visual Studio Intellicode
"Employed, full-time",Norway,NA
"Independent contractor, freelancer, or self-employed",Belgium,ChatGPT;Claude;GitHub Copilot;Google Gemini;Whispr AI
"Employed, full-time",Israel,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time;Employed, part-time",Netherlands,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",France,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",Brazil,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Czech Republic,NA
"Employed, full-time",India,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,GitHub Copilot
"Student, full-time;Independent contractor, freelancer, or self-employed",Switzerland,ChatGPT
I prefer not to say,Greece,NA
"Employed, full-time",Czech Republic,ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Romania,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, full-time",Ukraine,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Malaysia,Bing AI;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Cuba,Codeium
"Employed, full-time",Serbia,NA
"Employed, full-time",Poland,NA
"Employed, full-time;Student, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Australia,ChatGPT;GitHub Copilot
"Employed, full-time",Russian Federation,ChatGPT
"Employed, full-time",Iceland,NA
"Employed, full-time",Sweden,Bing AI
"Student, full-time",France,ChatGPT
"Employed, full-time",United States of America,Bing AI;Google Gemini
"Independent contractor, freelancer, or self-employed",Turkey,NA
"Employed, full-time",Netherlands,Bing AI;ChatGPT;GitHub Copilot
"Not employed, but looking for work",India,ChatGPT
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Brazil,GitHub Copilot
"Employed, full-time",Ireland,NA
"Employed, full-time",Czech Republic,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",India,Bing AI;ChatGPT;Google Gemini
Retired,Germany,Bing AI
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Russian Federation,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, and not looking for work",United States of America,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",France,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time",Netherlands,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Netherlands,ChatGPT
"Employed, full-time",Serbia,ChatGPT
"Student, full-time",Netherlands,NA
"Employed, full-time",Canada,Visual Studio Intellicode
"Employed, full-time",France,Visual Studio Intellicode
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",Spain,ChatGPT
"Employed, full-time",Germany,ChatGPT;Google Gemini
"Employed, full-time",Cyprus,NA
"Employed, full-time",Canada,NA
"Employed, full-time",Russian Federation,NA
"Employed, full-time",Slovakia,ChatGPT;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Denmark,NA
"Employed, full-time",Italy,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Bangladesh,ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Turkey,GitHub Copilot;Google Gemini;Perplexity AI;Visual Studio Intellicode
"Student, full-time;Not employed, but looking for work",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Google Gemini
